id,epoch_ms,datetime_utc,latitude,longitude,type
1,1688310009000.0,2023-07-02 15.00.09.000,4.195233939839481,125.36379700189842,2
2,1688310030000.0,2023-07-02 15.00.30.000,5.036298517802677,128.8474037848641,1
3,1688310037000.0,2023-07-02 15.00.37.000,2.4260038457431303,125.45554586993336,2
4,1688310051000.0,2023-07-02 15.00.51.000,3.3972954450944424,123.27127837936288,0
5,1688310057000.0,2023-07-02 15.00.57.000,2.1485112336953422,125.35535412368827,0
6,1688310060000.0,2023-07-02 15.01.00.000,-1.014819887994999,125.26933111926499,2
7,1688310078000.0,2023-07-02 15.01.18.000,4.3993151339388925,125.5721584353285,2
8,1688310158000.0,2023-07-02 15.02.38.000,-0.7142578832721939,123.88091876689896,0
9,1688310225000.0,2023-07-02 15.03.45.000,2.697316765099363,125.28822004343336,0
10,1688310279000.0,2023-07-02 15.04.39.000,4.280489543481794,125.10753377948588,0
11,1688310295000.0,2023-07-02 15.04.55.000,5.840156606057109,126.30266547807878,2
12,1688310296000.0,2023-07-02 15.04.56.000,3.479276591354574,125.1505918631029,2
13,1688310297000.0,2023-07-02 15.04.57.000,3.644847913343906,125.49862692283097,0
14,1688310307000.0,2023-07-02 15.05.07.000,3.6471337640786423,125.48567976121444,0
15,1688310309000.0,2023-07-02 15.05.09.000,2.453685778453962,125.56486986190573,2
16,1688310323000.0,2023-07-02 15.05.23.000,-1.174918267954077,124.9009413220161,2
17,1688310340000.0,2023-07-02 15.05.40.000,2.494896884338223,125.08406192908865,2
18,1688310395000.0,2023-07-02 15.06.35.000,2.110314062895662,124.9934853266677,0
19,1688310395000.0,2023-07-02 15.06.35.000,2.2318691790588407,124.94984487174918,2
20,1688310408000.0,2023-07-02 15.06.48.000,3.426919208896408,125.17185723946194,0
21,1688310437000.0,2023-07-02 15.07.17.000,-2.700789478205285,124.40999817585639,0
22,1688310452000.0,2023-07-02 15.07.32.000,3.9907535401489462,124.71092041769604,0
23,1688310455000.0,2023-07-02 15.07.35.000,2.2370792732216964,125.4638711225154,2
24,1688310455000.0,2023-07-02 15.07.35.000,4.564621386078337,125.62664905445581,0
25,1688310488000.0,2023-07-02 15.08.08.000,2.415255347953442,125.29508422169036,0
26,1688310491000.0,2023-07-02 15.08.11.000,-1.5651878040954819,125.21441431649396,0
27,1688310502000.0,2023-07-02 15.08.22.000,3.6302481935288617,125.5929615505728,0
28,1688310512000.0,2023-07-02 15.08.32.000,2.4368056502972233,125.38215192470823,2
29,1688310560000.0,2023-07-02 15.09.20.000,3.6277546292466867,125.52183145214113,2
30,1688310560000.0,2023-07-02 15.09.20.000,4.10267586104017,125.36629776342141,2
31,1688310567000.0,2023-07-02 15.09.27.000,-2.574965044219933,124.15018570908198,0
32,1688310598000.0,2023-07-02 15.09.58.000,2.0879566126673983,125.16746854749607,0
33,1688310612000.0,2023-07-02 15.10.12.000,2.56450753814344,121.73023403155244,0
34,1688310616000.0,2023-07-02 15.10.16.000,4.206708764166968,125.83861006152097,0
35,1688310639000.0,2023-07-02 15.10.39.000,3.71534352955382,125.61178447953557,2
36,1688310643000.0,2023-07-02 15.10.43.000,4.010031579394488,125.21953673745409,0
37,1688310645000.0,2023-07-02 15.10.45.000,2.5172549990320365,125.33249581513185,2
38,1688310693000.0,2023-07-02 15.11.33.000,2.093213505204554,125.13923224583422,0
39,1688310734000.0,2023-07-02 15.12.14.000,4.202196247757625,125.50430097417045,2
40,1688310749000.0,2023-07-02 15.12.29.000,2.122131275336012,122.63927584928817,0
41,1688310804000.0,2023-07-02 15.13.24.000,2.6307301078729113,125.2285748296747,2
42,1688310823000.0,2023-07-02 15.13.43.000,2.3935373948868532,122.70581922093577,2
43,1688310832000.0,2023-07-02 15.13.52.000,2.1924021586827522,124.81285228847112,2
44,1688310832000.0,2023-07-02 15.13.52.000,-3.154010830469166,123.86296493667129,2
45,1688310849000.0,2023-07-02 15.14.09.000,2.0142472825404485,124.25219025503132,0
46,1688310886000.0,2023-07-02 15.14.46.000,4.341669944293125,125.68010485016532,1
47,1688310889000.0,2023-07-02 15.14.49.000,3.8694469572358465,124.76198603870485,0
48,1688310895000.0,2023-07-02 15.14.55.000,-3.143715623183764,125.30450729076087,2
49,1688310905000.0,2023-07-02 15.15.05.000,3.4584434201577596,125.16771863038775,2
50,1688310941000.0,2023-07-02 15.15.41.000,2.3913065804745184,125.09732886770603,0
51,1688310941000.0,2023-07-02 15.15.41.000,2.3275586878326395,125.39761785349519,2
52,1688310968000.0,2023-07-02 15.16.08.000,3.961625171302579,124.7889719682601,2
53,1688310999000.0,2023-07-02 15.16.39.000,3.3743706822519814,125.05535666276853,0
54,1688311000000.0,2023-07-02 15.16.40.000,-2.1400737366142555,124.8193098139121,0
55,1688311002000.0,2023-07-02 15.16.42.000,4.606604533198973,125.81487130310562,2
56,1688311008000.0,2023-07-02 15.16.48.000,2.4374178765450516,125.04189322770986,2
57,1688311008000.0,2023-07-02 15.16.48.000,2.233527708208423,125.16344060184444,0
58,1688311017000.0,2023-07-02 15.16.57.000,-0.1381924611920569,124.87928475638988,2
