SAMBARAN TOTAL
Tipe,Jumlah
CG+,276
CG-,701
IC,1311
Jumlah Total,2288

SAMBARAN PER HARI
Tanggal,CG+,CG-,IC,Jumlah
05-Jul-23,37,32,204,273
06-Jul-23,120,498,359,977
07-Jul-23,9,20,106,135
08-Jul-23,5,11,31,47
09-Jul-23,5,7,9,21
10-Jul-23,0,2,2,4
11-Jul-23,0,0,0,0
12-Jul-23,0,1,4,5
13-Jul-23,12,17,71,100
14-Jul-23,76,79,500,655
15-Jul-23,0,0,0,0

SAMBARAN PER WILAYAH
KECAMATAN,CG+,CG-,IC,Jumlah
Ternate Selatan,1,1,10,12
Ternate Tengah,0,0,5,5
Ternate Utara,1,1,0,2
Pulau Ternate,2,2,3,7
Tidore,6,3,23,32
Tidore Selatan,1,2,8,11
Tidore Utara,5,9,88,102
Tidore Timur,5,2,24,31
Oba Utara,16,5,83,104
Jailolo Selatan,3,3,14,20
Jailolo,0,3,4,7
